taxyear,N,community,ratio1,ratio,value,erate,taxes,av,av1,appeal_flag,condo,tract2010,white,black,hispanic,nativ,asian,two,medhinc,college,poverty
2009-2015,90,Rogers Park,1.0410504,0.96801662,216500,0.014969653,3107.9199,20269,22047,0.2888889,0.80000001,10100,0.37288833,0.50206017,0.12690565,0.006798517,0.072929546,0.045323446,31063,0.18288909,0.32384947
2009-2015,190,Rogers Park,1.0518025,0.99552846,172500,0.014089983,2612.3301,18240,18596.5,0.23157895,0.62105262,10201,0.35844961,0.36434108,0.31767443,0.007441861,0.21782945,0.051937986,38766,0.22435994,0.35206786
2009-2015,63,Rogers Park,0.96238095,0.95672786,210000,0.014814304,2841.4099,18078,18259,0.20634921,0.76190478,10202,0.4389638,0.3381831,0.27998582,0.006387509,0.16997871,0.046486869,36369,0.23813954,0.23516279
2009-2015,203,Rogers Park,1.0305001,0.95810711,173550,0.014142686,2363.01,16299,17936,0.33497536,0.8669951,10300,0.52389354,0.27613854,0.18745992,0.003367543,0.15971777,0.036882617,41315,0.22531542,0.19470899
2009-2015,118,Rogers Park,0.98929489,0.84403408,241250,0.013094865,2704.0898,18713,23735.5,0.33898306,0.88983053,10400,0.6626339,0.14458548,0.095200315,0.003371678,0.14537881,0.044030149,43125,0.3294287,0.1512536
2009-2015,96,Rogers Park,1.0081832,0.93325639,169950,0.013733196,1993.495,14894,16482.5,0.39583334,0.94791669,10501,0.49327794,0.31777072,0.12368614,0.005622097,0.14153019,0.041799072,34481,0.36977491,0.22384368
2009-2015,94,Rogers Park,1.0137875,0.96510929,203500,0.014609134,2629.9048,18534,20079.5,0.22340426,0.84042555,10502,0.58690745,0.25024185,0.10964205,0.009996776,0.11544663,0.037407286,28607,0.25753576,0.51423806
2009-2015,22,Rogers Park,0.99419308,0.96807128,353750,0.012705626,4618.5249,33278,35054.5,0.090909094,0.54545456,10503,0.63406116,0.13231441,0.1069869,0.008296943,0.18296944,0.042358078,20524,0.26390156,0.32816774
2009-2015,227,Rogers Park,0.97211236,0.92655736,192000,0.013872838,2475.8601,16618,18728,0.37444934,0.80616742,10600,0.56732821,0.25291127,0.1891094,0.005412498,0.14072494,0.033623092,50236,0.34401146,0.18858823
2009-2015,136,Rogers Park,0.95629108,0.93244666,186000,0.013522606,2523.3599,18543,19159,0.22058824,0.63235295,10701,0.54994822,0.19694617,0.37862319,0.003881988,0.21325052,0.035973083,54690,0.34350568,0.084741488
2009-2015,127,Rogers Park,1.1063682,1.0622222,145000,0.015952783,2138.45,14922,15622,0.2992126,0.80314958,10702,0.46295935,0.2245771,0.47112581,0.006999806,0.24752091,0.057942834,39805,0.22685693,0.34742042
2009-2015,109,West Ridge,1.109625,1.0013568,135000,0.014560233,1783.72,14849,16232,0.18348624,0.66055048,20100,0.3856242,0.29810846,0.24010088,0.007061791,0.26633039,0.042875156,50080,0.24055432,0.18512224
2009-2015,279,West Ridge,0.94056821,0.91834319,300000,0.014360608,4114.6699,26975,27413,0.10394266,0.060931899,20200,0.60949671,0.092570402,0.14125225,0.001198322,0.26467946,0.032055125,62415,0.30340186,0.23147663
2009-2015,504,West Ridge,1.1122298,1.0132297,112500,0.013948946,1487.125,10543.5,12202,0.41468254,0.7638889,20301,0.83473682,0.022315789,0.060842104,0.003157895,0.11810526,0.021684211,55000,0.32217661,0.054209445
2009-2015,154,West Ridge,1.0324473,1.0221546,206750,0.014419659,2807.1201,23791,23920,0.24025974,0.43506494,20302,0.656129,0.099354841,0.20473118,0.002580645,0.21053763,0.031397849,56181,0.31731722,0.10929082
2009-2015,170,West Ridge,1.0727754,1.0356127,152550,0.014771562,2229.3101,16222,16689.5,0.2764706,0.66470587,20400,0.54366601,0.17226487,0.23680422,0.006477927,0.23704414,0.040547024,52545,0.32608953,0.10972568
2009-2015,126,West Ridge,1.1344645,1.062319,133000,0.016909793,2142.5701,13370,13572,0.2857143,0.74603176,20500,0.34872869,0.19649179,0.24589637,0.008690055,0.40231735,0.043772127,36455,0.17691056,0.17382114
2009-2015,134,West Ridge,1.000947,0.9779917,247750,0.015600003,3245.7349,23887.5,23887.5,0.23134328,0.38059703,20601,0.61514246,0.04785141,0.15898001,0.005981426,0.28364551,0.047379192,43047,0.20358109,0.2767078
2009-2015,102,West Ridge,1.0346067,1.0240673,294750,0.015192905,4500.3398,30068,30536.5,0.10784314,0.12745099,20602,0.48018435,0.075115204,0.26244241,0.002534562,0.39792627,0.044239633,41386,0.25794926,0.22222222
2009-2015,63,West Ridge,0.93729234,0.93729234,325000,0.014783243,4990.1699,32492,32820,0.12698413,0.12698413,20701,0.63849765,0.024647888,0.13321596,0.004107981,0.29166666,0.041079812,80329,0.30640668,0.2367688
2009-2015,169,West Ridge,1.155619,1.0733334,205000,0.016762892,2963.1399,21895,25465,0.24260356,0.47928995,20702,0.50291908,0.077286631,0.16319154,0.004448151,0.36711147,0.048234642,41250,0.18005428,0.15237449
2009-2015,152,West Ridge,1.0961063,1.0588233,302000,0.016650071,4775.9399,31444.5,31529,0.21052632,0.27631578,20801,0.53957492,0.07072188,0.26877978,0.005862954,0.34737998,0.036460243,52500,0.20767535,0.24146162
2009-2015,164,West Ridge,1.1467716,1.1326785,234500,0.017622849,3616.02,26302.5,26520.5,0.17682926,0.45731708,20802,0.33706737,0.10713772,0.25463164,0.006175499,0.50581646,0.043802958,39406,0.25831893,0.30826703
2009-2015,86,West Ridge,1.2934893,1.2450962,162500,0.017288737,2605.4399,19351.5,20630.5,0.3255814,0.62790698,20901,0.35223138,0.20321777,0.29228118,0.006895231,0.39072976,0.046925876,38426,0.16957834,0.25665417
2009-2015,118,West Ridge,1.333119,1.2864225,88450,0.016427405,1361.6299,11354.5,11777,0.37288135,0.80508476,20902,0.48880073,0.13159123,0.17125525,0.002333178,0.34367707,0.03359776,38854,0.11815693,0.15282847
2009-2015,218,Edgewater,0.93623364,0.87696612,173500,0.012977819,2362.0449,15898.5,16847.5,0.44036698,0.99082571,30101,0.51810944,0.25584382,0.13973799,0.005137426,0.18880041,0.032108914,37821,0.41342527,0.23598284
2009-2015,171,Edgewater,0.96271998,0.87352002,125000,0.012176969,1477.54,10919,12212,0.23976608,0.98830408,30102,0.59238452,0.22128589,0.10830212,0.004057428,0.14700374,0.035268415,33583,0.4064323,0.23080561
2009-2015,77,Edgewater,0.85824466,0.74479997,171000,0.01161166,1572.3,12741,14824,0.5714286,1,30103,0.59647304,0.17686722,0.094398342,0.002074689,0.19502075,0.029564315,26096,0.31819376,0.28931478
