tract2010,white,medhinc,count,mean,median
90100,0.932452261,78903,221,0.001477667,0.001451673
90200,0.943327248,85000,380,0.001491064,0.001466719
90300,0.940233231,83419,84,0.001435659,0.001457605
20200,0.609496713,62415,279,0.001424812,0.001408196
120100,0.902334452,103929,302,0.001422551,0.001438257
100200,0.921025336,76881,350,0.001503788,0.001494183
808100,0.881963849,39327,313,0.001481186,0.001418503
120200,0.872009039,89773,260,0.001505926,0.001476658
20301,0.834736824,55000,504,0.001512052,0.001462217
20302,0.656129003,56181,154,0.001520886,0.001462924
20601,0.615142465,43047,134,0.001516468,0.001487953
20702,0.502919078,41250,169,0.001708983,0.001678913
20602,0.480184346,41386,102,0.00164749,0.001572816
10100,0.372888327,31063,90,0.001500068,0.00145823
810200,0.408259273,61991,285,0.001495935,0.001492955
10300,0.523893535,41315,203,0.001493683,0.001428041
20100,0.3856242,50080,109,0.001596943,0.001571688
10201,0.358449608,38766,190,0.001545831,0.001434599
10202,0.438963801,36369,63,0.001396309,0.001428347
20400,0.543666005,52545,170,0.00158591,0.001539318
10701,0.549948215,54690,136,0.00140876,0.00141979
10702,0.462959349,39805,127,0.001621398,0.001595569
20500,0.348728687,36455,126,0.001635681,0.001611305
830600,0.499300689,42078,127,0.001501781,0.001413647
10600,0.567328215,50236,227,0.001363685,0.001378587
10501,0.493277937,34481,96,0.001530767,0.001402619
10400,0.662633896,43125,118,0.001278751,0.001352547
10502,0.586907446,28607,94,0.001522322,0.001493993
10503,0.634061158,20524,22,0.001405472,0.001348769
100400,0.91063273,82679,188,0.001455023,0.001436608
100300,0.923425615,57163,273,0.00142029,0.001404724
810400,0.947476625,74914,299,0.001470046,0.001410074
100500,0.879563928,77679,307,0.001573326,0.00155704
760803,0.853592038,40722,239,0.001925089,0.001822364
760801,0.724240184,49397,83,0.001687068,0.001598552
770902,0.919057071,47792,184,0.001499651,0.001524357
770901,0.88832593,49806,335,0.001412429,0.001447833
810501,0.946127951,64364,255,0.001518316,0.001502672
810502,0.895236254,47750,239,0.001628436,0.001635
760802,0.948154628,50288,136,0.001558054,0.001525278
170500,0.881927729,77802,223,0.001652387,0.001656265
170600,0.886709392,52219,108,0.001747307,0.001773497
170400,0.860723495,64815,194,0.00160758,0.00158871
170700,0.875503361,55691,136,0.001829882,0.001744192
170800,0.841440499,59559,167,0.001723422,0.001734034
170900,0.765323997,59782,66,0.001788416,0.001803711
20802,0.337067366,39406,164,0.001820828,0.001727172
20701,0.638497651,80329,63,0.001489618,0.001481063
20801,0.539574921,52500,152,0.001597836,0.001646091
130100,0.661016941,44654,189,0.001623271,0.001565788
130300,0.492693514,53384,145,0.00176556,0.00173702
120300,0.79120189,101402,394,0.001450612,0.001432048
130200,0.731586397,71806,110,0.001498836,0.001437863
110100,0.817282081,62520,271,0.001645493,0.001609875
100100,0.875023544,64352,248,0.001648748,0.001576893
100600,0.864859283,58578,281,0.001514335,0.001450737
100700,0.853501856,66429,306,0.001551763,0.001565548
110300,0.80875802,67361,257,0.00159495,0.001531304
110200,0.793493629,57641,106,0.001753559,0.0016828
110400,0.805147052,52155,196,0.00157686,0.001576815
150401,0.796578348,47972,171,0.001672116,0.001620753
110501,0.737658978,62552,179,0.001621783,0.001531509
120400,0.712375522,66210,151,0.001567221,0.001501422
110502,0.762290001,53594,156,0.00157995,0.001556093
140400,0.590301275,43628,204,0.001558007,0.001527088
831800,0.558209419,56791,169,0.001535418,0.001492955
140302,0.457537413,51056,90,0.001634767,0.001621113
140301,0.339328945,49699,41,0.001878308,0.001781814
140200,0.51735121,43549,91,0.001608388,0.00150869
40300,0.646464646,68125,138,0.001492803,0.001539706
40202,0.579528213,43604,250,0.001616641,0.001570011
40201,0.725796103,60612,373,0.00134692,0.001375081
140100,0.484848499,32031,61,0.001411168,0.001479735
140800,0.641318679,67880,285,0.001437487,0.001373328
40700,0.791226387,68611,232,0.001338231,0.001358531
40800,0.806472898,76979,104,0.001280413,0.001307099
160601,0.628939807,51393,167,0.001484928,0.001486604
160602,0.640847027,52353,180,0.001394121,0.001391916
50300,0.838054955,98523,172,0.001337178,0.001362198
140601,0.485642493,45972,59,0.001598721,0.001614844
140602,0.445617944,38346,115,0.00169848,0.001574036
140701,0.484486878,53924,72,0.001478365,0.001449571
140702,0.464199126,45064,130,0.001520972,0.001477743
160400,0.662541926,44813,191,0.00150117,0.001436685
160501,0.491881579,37260,147,0.001699877,0.00158849
160502,0.529295802,45439,126,0.001554383,0.001526256
160100,0.7086519,58547,99,0.001611227,0.00151305
160200,0.751379609,60781,167,0.001445441,0.001425925
140500,0.603424847,50651,85,0.0016885,0.001557701
831700,0.627469897,67037,98,0.00162455,0.001646617
160300,0.689035654,38485,143,0.001664382,0.001594333
150300,0.809947193,55551,253,0.001591232,0.001507624
150200,0.737533152,51205,244,0.001662865,0.00164016
810600,0.821708739,46868,139,0.001589708,0.001582729
